Filer,Annualized_Volume,Trades_Per_Year,Burst_Score,Churn_Rate,z_Annualized_Volume,z_Trades_Per_Year,z_Burst_Score,z_Churn_Rate,Capital_Velocity_Index,Rank
Markwayne Mullin,64338120.90909091,605.4545454545455,57.7480466569599,0.0036036036036036037,2.126139915868962,2.2239317259046403,1.6465511036295104,-0.16130930594909432,1.5394830128380517,1
Mike Rounds,24560051.75,103.5,330.3738869899119,0.0,1.512197424855279,0.4498126361458379,3.0,-0.300104102654972,1.315528540914022,2
Rick Scott,85342860.10909091,120.21818181818183,29.39997680003092,0.0,2.3062522524527482,0.5995406613197847,1.0496219260303954,-0.300104102654972,1.0638797356144751,3
W. Mitt Romney,50262009.7,219.4,21.447895710879123,0.0,1.9687367754061265,1.2027224657255344,0.7748627322244106,-0.300104102654972,1.0616065190027608,4
Mark R Warner,70450639.05882353,101.6470588235294,39.02398665067554,0.0,2.184000370123752,0.43176256217176107,1.2988229965963758,-0.300104102654972,1.053672507886715,5
John Hoeven,20321266.721311476,107.21311475409837,67.07178063257341,0.01834862385321101,1.3914189806356672,0.48503940121390393,1.7800186427764269,0.40145907692657706,0.8137544869248552,6
Ron Johnson,64875009.0,18.0,82.75845222389172,0.0,2.131437733459289,-1.2701331539784302,1.9679129626005283,-0.300104102654972,0.7823304111840896,7
William F Hagerty IV,10812783.0,66.0,69.56442244147813,0.0,0.9891887826844783,0.00135555034199766,1.8126037122203955,-0.300104102654972,0.7758130369754608,8
Lamar Alexander,15339055.799999999,111.6,29.012388270949604,0.0,1.2121091238852806,0.5251328208481169,1.0379956758929059,-0.300104102654972,0.7688354308203187,9
Patty Murray,5573821.2,242.39999999999998,24.527178123437256,0.0,0.5667436113327741,1.3028694830024221,0.8913343088046978,-0.300104102654972,0.7652628764487166,10
Cynthia M Lummis,12150040.363636363,80.72727272727273,41.282990264096235,0.0,1.0635247056540857,0.20182204450761268,1.3485712670390673,-0.300104102654972,0.7285055299639345,11
Elizabeth Warren,2118897.1970802923,42.56934306569343,391.2262150282111,0.0,-0.049846916902067495,-0.43281974446001953,3.0,-0.300104102654972,0.7043593603232212,12
David H McCormick,28227790.615384616,196.61538461538464,6.84992869084359,0.0,1.600929817676871,1.092628218886813,-0.17713131771298857,-0.300104102654972,0.7041327053764168,13
Kamala D Harris,6349249.090909091,316.3636363636364,10.263338630285595,0.0,0.6497829836023644,1.5705770407193915,0.1500016682130379,-0.300104102654972,0.6676164487974414,14
Roger W Marshall,3643877.3333333335,199.11111111111111,26.541028685706774,0.0,0.2957809391679861,1.1052902305040007,0.9601345652213411,-0.300104102654972,0.6653274593870748,15
Benjamin E Sasse,5496480.827586208,134.0689655172414,26.32964889735484,0.0,0.5578357969092792,0.7086986236723016,0.9531536251401334,-0.300104102654972,0.6299480370941715,16
Peter Welch,12317922.75,220.5,7.404288844889003,0.0,1.0722731630409281,1.2077453609846744,-0.11530362498243403,-0.300104102654972,0.6162047504245352,17
John P Ricketts,52950058.666666664,117.33333333333333,4.880950374150614,0.0,2.0019508602765668,0.5752393547672561,-0.43878983280591327,-0.300104102654972,0.6096261212232204,18
John N Kennedy,4847384.072727273,77.23636363636363,47.65316687435505,0.0,0.4777205957225354,0.1577796654007071,1.475720984864239,-0.300104102654972,0.6028313371606133,19
Steve Daines,4463741.903225807,64.45161290322581,56.60218107034653,0.0,0.42515672148179917,-0.022234377836987555,1.628703944046349,-0.300104102654972,0.5829325975865332,20
Ron L Wyden,13389779.875,309.75,20.41622502659593,0.0387409200968523,1.1254647355398408,1.5493297929488408,0.7322341991790462,1.1664823903629438,0.5601365843261961,21
David A Perdue Jr,26091972.646153845,929.9076923076923,20.928610571273598,0.08437562040897359,1.550770953464862,2.6562823843760883,0.7536566111070209,2.8254418465361217,0.5338170256029622,22
Lisa Blunt Rochester,13024042.0,84.0,14.733080744217524,0.0,1.1078090818787443,0.24143557035559154,0.45281938255649534,-0.300104102654972,0.5255420343614507,23
Thomas R Carper,4957409.935483871,368.258064516129,9.383070788375557,0.0161177295024527,0.4920290208388079,1.7233747108808586,0.07626947295633389,0.3168384624892282,0.49370868554669306,24
Shelley M Capito,1534661.3333333333,156.0,35.249671895505905,0.005341880341880342,-0.2554988096388598,0.8605002673371679,1.209078666829422,-0.09453669111975836,0.4771542039118721,25
Timothy M Kaine,2798204.1599999997,88.32,33.20117492656657,0.0,0.12743327274741406,0.29145169074722216,1.1563726527559983,-0.300104102654972,0.46884042972640166,26
Robert J Portman,4461631.525423729,144.40677966101694,12.861781565161314,0.0,0.4248552466167301,0.7831057844459453,0.33808454119833226,-0.300104102654972,0.4615374187289949,27
Kelly Loeffler,410847966.0,1074.857142857143,1.8906616073503888,0.21371610845295055,3.0,2.8022853298647337,-1.0823059975771117,3.0,0.42999483307190567,28
Martha E McSally,2064825.75,151.5,18.593160844113523,0.0,-0.06632650811678707,0.8311598012962128,0.6516233208325966,-0.300104102654972,0.42914017916674857,29
James E Risch,2649449.357142857,41.57142857142857,62.06643863012394,0.0,0.09260862602039052,-0.456196731902994,1.7108189553813753,-0.300104102654972,0.411833738038436,30
Charles E Grassley,2133956.659090909,140.5909090909091,18.113186431720614,0.0,-0.04533201838074844,0.756275494189969,0.6291510590562004,-0.300104102654972,0.41004965938009824,31
Lisa A Murkowski,2022391.8139534884,225.48837209302326,10.666666666666519,0.0,-0.07956438500496477,1.230214922165681,0.1818794195412565,-0.300104102654972,0.4081585148392362,32
Thomas R Tillis,3173080.25,160.5,10.76257448448944,0.0,0.20758423893513314,0.889011534466254,0.18929741972068603,-0.300104102654972,0.3964993239442613,33
Maggie Hassan,1205362.732394366,77.57746478873239,49.3878351353025,0.0,-0.40947610253648226,0.16216885210808943,1.5074629965859947,-0.300104102654972,0.39006496220314346,34
William Cassidy,1905168.1333333333,202.93333333333334,12.708205737141295,0.003942181340341655,-0.1176305128189454,1.124379279400068,0.32799016658203956,-0.14829441746377778,0.37075833765673494,35
Andy Kim,2824318.2857142854,65.14285714285714,29.014045997124274,0.0,0.13335522150581483,-0.011634950019450974,1.0380457206834106,-0.300104102654972,0.3649675237061866,36
Charles E Schumer,6696090.0,180.0,3.9015789157896075,0.0,0.6836903941590801,1.0040196519728148,-0.6038392607689629,-0.300104102654972,0.345993722004476,37
Mazie K Hirono,2348282.25,64.5,30.473665762913924,0.0,0.015681706827196242,-0.021488782343307988,1.0810707948516156,-0.300104102654972,0.343841955497619,38
Amy J Klobuchar,2438692.0,50.666666666666664,37.49770639334948,0.0,0.03976539668690839,-0.2608410491112479,1.2635949986322097,-0.300104102654972,0.33565586221571053,39
John W Hickenlooper,13013079.677419353,94.83870967741935,21.647769643838025,0.0326530612244898,1.1072722639878514,0.36252091301530553,0.7828945311893897,0.9396784345891299,0.3282523184008542,40
John A Barrasso,13842868.285714285,22.285714285714285,21.42851877566052,0.0,1.1466801005633214,-1.0649187765040495,0.7740802840344754,-0.300104102654972,0.2889864276871798,41
Jeanne Shaheen,6811315.285714285,59.14285714285714,11.249965833447185,0.0,0.6945672586383601,-0.10757692807088097,0.22608387886071887,-0.300104102654972,0.2782945780207925,42
Sheldon Whitehouse,3068641.4,216.13333333333333,7.512913905569132,0.015422578655151141,0.18624811802682928,1.1876568707736652,-0.10366782967021772,0.29043255252533146,0.24495115165123627,43
Michael D Crapo,2512403.5714285714,235.7142857142857,3.2809913944046816,0.0,0.0587492189535185,1.2747688696032533,-0.7264955797368438,-0.300104102654972,0.22678165286872504,44
John F Reed,1238320.5,141.0,19.363357971944495,0.01276595744680851,-0.3922789619644518,0.7591862941915518,0.6865579932374107,0.18935165987811117,0.2160284163965999,45
Ashley Moody,6595585.5,171.0,1.428923682353285,0.0,0.6740491879134687,0.9525624136774137,-1.239994728351184,-0.300104102654972,0.1716802439736676,46
Marsha Blackburn,1498558.875,117.75,8.522200317025543,0.0,-0.2706752682550293,0.5787856323127506,-0.00215097736078278,-0.300104102654972,0.15151587233797764,47
THEODORE P BUDD,1337545.7142857143,120.0,8.916317730141682,0.0,-0.34313946113168475,0.5977230690138531,0.03459506896650228,-0.300104102654972,0.14732069487591065,48
JD Vance,39000018.0,36.0,1.9538458674557528,0.0,1.8070083743855287,-0.5977126121630915,-1.0627145497229264,-0.300104102654972,0.11167132878862068,49
Rev. Raphael Warnock,698362.6956521738,29.73913043478261,55.62164864695609,0.0,-0.7574272234424095,-0.7847467362954034,1.613147707565145,-0.300104102654972,0.09276946262057606,50
Benjamin L Cardin,1623895.8461538462,99.38461538461539,7.2532558958112565,0.0,-0.21946776882165395,0.40927634228937304,-0.1317345208043229,-0.300104102654972,0.08954453882959204,51
Tom Cotton,1527064.5,129.0,5.416294117418101,0.0,-0.25866242948769647,0.670106565256406,-0.3598514671124367,-0.300104102654972,0.0879241928278112,52
Thomas H Tuberville,19541333.36170213,709.2765957446809,4.9569786036463634,0.105471562275018,1.3664693188381696,2.383365189533955,-0.4271514203355306,3.0,0.08067077200914852,53
M. Michael Rounds,1790932.6956521738,126.26086956521739,4.687289075682733,0.0,-0.15705014174383305,0.6486213388944773,-0.4691290780272354,-0.300104102654972,0.0806365554445952,54
Michael F Bennet,2847875.0,35.714285714285715,15.1778045656594,0.0,0.13865043434309615,-0.6055336972433043,0.47807559869222754,-0.300104102654972,0.07782410961174785,55
James P Lankford,1320051.8181818184,103.63636363636364,7.395641939045323,0.0,-0.35153252757587994,0.4511283262991858,-0.11623632482268687,-0.300104102654972,0.07086589413889775,56
Bernard Sanders,2322120.0,240.0,1.0904294351713033,0.0,0.008539333523040496,1.2928718957656262,-1.3759755716709003,-0.300104102654972,0.05638494006818462,57
Joseph Manchin III,1943507.8285714288,44.22857142857143,13.999946667022032,0.0,-0.10492860858190081,-0.39511131105943614,0.40958302600120744,-0.300104102654972,0.052411802253710615,58
Jerry Moran,4563251.5,503.0,6.631375880499767,0.0636182902584493,0.43921255879536364,2.0372284762657964,-0.20271519248172926,2.0796811780300453,0.048511166137346406,59
Tina Smith,6536124.0,48.0,4.428742856285708,0.0,0.6682757449430176,-0.3143060035747116,-0.5112846867591017,-0.300104102654972,0.03569728931604407,60
Thomas Udall,1068942.2307692308,38.307692307692314,23.322764265164434,0.0,-0.486048037704401,-0.5366709185433783,0.8475433719343399,-0.300104102654972,0.031232129585383128,61
Cory A Booker,1831305.2727272727,65.0909090909091,7.748721814536107,0.0,-0.14283848782886924,-0.012427654772819057,-0.07891116898411467,-0.300104102654972,0.01648169776729226,62
Jeffrey A Merkley,7878028.199999999,56.4,2.6548549299738182,0.0,0.7873201899919973,-0.1546714435450078,-0.8697697824715626,-0.300104102654972,0.01574576665759972,63
Mike Braun,3098461.1999999997,122.39999999999999,1.9916650555662896,0.0,0.19241327559373697,0.6175387290198006,-1.0511875175835768,-0.300104102654972,0.014717147421233201,64
Susan M Collins,1955014.8510638298,72.25531914893617,8.230827218042714,0.007067137809187279,-0.10116520044546581,0.09140952293140248,-0.030308966666604136,-0.028378248126098023,-0.0029215990136423637,65
Mitchell A McConnell Jr.,3087637.8,75.6,3.689944048185699,0.0,0.1901824555915121,0.13645375561712203,-0.6438299390918033,-0.300104102654972,-0.004272406307049295,66
Sherrod Brown,3260008.0,16.0,23.07659882155588,0.0,0.22481413324387342,-1.38235035705536,0.8383265793961118,-0.300104102654972,-0.0047763854401007,67
Joni K Ernst,702823.0434782609,80.8695652173913,8.499999999999734,0.0,-0.7533684832726834,0.2035771035259803,-0.00426586475796157,-0.300104102654972,-0.06348828546242316,68
Daniel S Sullivan,1951978.714285714,100.28571428571428,16.422720255755916,0.038461538461538464,-0.10215602300433785,0.41829242492369334,0.5452465267469616,1.15610312684937,-0.07368004954576324,69
Rand Paul,632054.25,37.07142857142857,19.702002999811896,0.0,-0.8210273239893975,-0.5689119432446123,0.7015020163386441,-0.300104102654972,-0.09708328706009839,70
Michael B Enzi,1566014.0,28.0,13.357756598602174,0.0,-0.24260592499914946,-0.8435065669158506,0.3699370221031118,-0.300104102654972,-0.10401784178922907,71
Doug Jones,2234049.0,98.0,1.695927607623376,0.0,-0.016109955465716648,0.3952634097639954,-1.145497642357915,-0.300104102654972,-0.11656002135116608,72
Debra S Fischer,922018.0,36.0,13.690463181550522,0.0,-0.5803103336658568,-0.5977126121630915,0.3906933006692176,-0.300104102654972,-0.1218063856261897,73
Christopher Murphy,888878.5714285714,42.857142857142854,10.461654436085277,0.0,-0.603645814864883,-0.426177213876321,0.16581608648539942,-0.300104102654972,-0.14097570990020813,74
Joshua D Hawley,601786.5365853659,60.87804878048781,9.124617211424,0.0,-0.8523114704687019,-0.07888055435887877,0.05343045286322116,-0.300104102654972,-0.1444143673273469,75
John R Thune,669821.4,42.8,9.178062865780111,0.0,-0.784028893640638,-0.4274926181342914,0.05820078542933035,-0.300104102654972,-0.21330415592265678,76
Catherine Cortez Masto,4621518.75,37.5,1.9230658777828298,0.0,0.4473012701889977,-0.5576180015457901,-1.0722055480854273,-0.300104102654972,-0.2206045441968119,77
John Fetterman,506429.2,58.4,6.666666666666389,0.0,-0.9622934855335981,-0.1201161850770699,-0.19853482110333692,-0.300104102654972,-0.24521009726475823,78
Angus S King Jr.,630022.3636363636,44.72727272727273,7.661805202996641,0.0,-0.823080048970395,-0.3840476520058439,-0.08795772140008722,-0.300104102654972,-0.24874532993033854,79
Thomas J Ossoff,672042.0,84.0,2.909090909090843,0.0,-0.7819189096441095,0.24143557035559154,-0.8088384250221727,-0.300104102654972,-0.2623044154139297,80
Gary C Peters,606597.7808219178,44.87671232876713,7.218392600462246,0.0,-0.8472348898913813,-0.3807558306361225,-0.13557000894483734,-0.300104102654972,-0.26586415670434227,81
Jefferson B Sessions III,1069027.0,54.0,3.505773975220693,0.0,-0.48599748390862185,-0.19776332796482457,-0.6801277236145866,-0.300104102654972,-0.26594610820826525,82
Patrick J Toomey,1880083.7419354839,102.96774193548387,5.572693373330775,0.03571428571428571,-0.1260800378627123,0.4446607189615541,-0.3380307509424399,1.0538913799822087,-0.2683353624564517,83
Roy Blunt,2022564.0,37.09090909090909,2.8845748526945516,0.0,-0.07951010981622837,-0.5683958302196578,-0.8145387405266055,-0.300104102654972,-0.29058514447687994,84
Richard C Shelby,4330014.0,28.0,1.9999999999999944,0.0,0.4057658023353111,-0.8435065669158506,-1.0486666845113644,-0.300104102654972,-0.296575836609233,85
Ladda Tammy Duckworth,654755.0399999999,70.08,3.0311543028560086,0.0,-0.7985321917299888,0.06099592550002987,-0.7809788577132911,-0.300104102654972,-0.30460275532206954,86
Jacklyn S Rosen,558021.84,43.68,6.562308605711938,0.0,-0.9004464256046093,-0.40742312427041044,-0.2109527950407769,-0.300104102654972,-0.3046795605652061,87
Lindsey Graham,1189016.5,33.0,4.794435730772589,0.0,-0.41818069615570386,-0.6830238227899988,-0.45221794452337993,-0.300104102654972,-0.31332959020352763,88
Chris Van Hollen,1260042.0,84.0,0.9999999999999905,0.0,-0.3811932819216455,0.24143557035559154,-1.4160438154818082,-0.300104102654972,-0.31392435609822256,89
John Boozman,1379525.7272727273,142.36363636363637,4.8192059115971615,0.0421455938697318,-0.32343824040753105,0.7688287529608034,-0.4483529396933988,1.2927450710506736,-0.32392687454769997,90
Cindy Hyde-Smith,1662006.0,12.0,11.53829941077794,0.0,-0.20467931704030515,-1.653005896419906,0.24716323299006798,-0.300104102654972,-0.3276044694537928,91
Martin Heinrich,510937.3846153846,28.615384615384617,9.374476595212213,0.0,-0.9566435486475564,-0.8223212232149771,0.07551920270972878,-0.300104102654972,-0.3508353666244582,92
Pat Roberts,4617601.344827587,168.20689655172416,10.655706417283303,0.13899138991389914,0.44676065879305477,0.9360441854355483,0.18102781816227567,3.0,-0.35904183440228027,93
Marco Rubio,552014.4,28.799999999999997,6.249651063474939,0.0,-0.9073468074833022,-0.8160514054839595,-0.24920967340365963,-0.300104102654972,-0.4181259459289873,94
Brian E Schatz,946015.5,31.0,2.8076721896585775,0.0,-0.5639300223519991,-0.7441889084386003,-0.8326559477488655,-0.300104102654972,-0.46016769397112317,95
Christopher A Coons,4192375.909090909,24.545454545454547,3.2142808163405157,0.022222222222222223,0.3851722017350638,-0.9714737373980006,-0.7407259093013729,0.5479500762866819,-0.4687443803127479,96
James M Inhofe,1857016.125,32.25,2.43333711108591,0.011627906976744186,-0.13395032712606597,-0.7055284344138053,-0.9264202194962905,0.14596921093981383,-0.4779670479939939,97
A. Mitchell McConnell Jr.,333096.34285714285,21.25714285714286,9.374476595212213,0.0,-1.2293796457315886,-1.1104985939487264,0.07551920270972878,-0.300104102654972,-0.4910637335789036,98
Adam B Schiff,543615.6,31.2,2.9999999999999076,0.0,-0.9171209444960684,-0.7379028138170217,-0.7880084619035531,-0.300104102654972,-0.5357320293904178,99
Roger F Wicker,444010.36363636365,20.727272727272727,5.38454793003168,0.0,-1.0461492986307839,-1.1348081016376323,-0.364345565267099,-0.300104102654972,-0.5612997157201358,100
Robert Menendez,1800012.0,24.0,0.9999999999999934,0.0,-0.15382638751011998,-0.9932497249435027,-1.416043815481807,-0.300104102654972,-0.5657539563201144,101
James Conley Justice II,4500006.0,12.0,0.9999999999999973,0.0,0.43031502494086243,-1.653005896419906,-1.4160438154818051,-0.300104102654972,-0.5846576460764692,102
Laphonza R Butler,401022.0,44.0,1.7499999999999454,0.0,-1.1110678754683676,-0.4002229872146823,-1.1275045164259092,-0.300104102654972,-0.5846728191134969,103
Maria Cantwell,363013.5,27.0,3.2498468845695516,0.0,-1.1745486302805892,-0.8789107231393365,-0.7331113489563684,-0.300104102654972,-0.6216166499303304,104
Rafael E Cruz,492009.7894736842,19.578947368421055,3.307672189658519,0.0,-0.9807085263131246,-1.189591877578347,-0.7208661655689355,-0.300104102654972,-0.6477656167013588,105
John Cornyn,412512.0,24.0,2.511592573931165,0.0,-1.0930588788549502,-0.9932497249435027,-0.906000309694502,-0.300104102654972,-0.6730512027094957,106
Alex Padilla,336021.0,42.0,1.142857142857102,0.0,-1.2238066138644519,-0.44609065485330796,-1.3535318935496214,-0.300104102654972,-0.6808312649031023,107
Cory Gardner,2100006.0,12.0,0.9999999999999943,0.0,-0.0555561792396396,-1.653005896419906,-1.4160438154818065,-0.300104102654972,-0.706125447121595,108
Raymond J Tester,1098006.0,12.0,1.912563319326103,0.0,-0.46894605638981623,-1.653005896419906,-1.0754668913693042,-0.300104102654972,-0.7243286853810136,109
Katie Britt,1230029.0,58.0,6.1944886906657075,0.06896551724137931,-0.39656193281110597,-0.1269332037349737,-0.2561302454654164,2.273176705468566,-0.7632005218700155,110
Tim Scott,900006.0,12.0,0.9999999999999866,0.0,-0.5957146861756152,-1.653005896419906,-1.4160438154818098,-0.300104102654972,-0.8411650738555898,111
Bernie Moreno,217509.0,18.0,2.0311543028559447,0.0,-1.5010802375529344,-1.2701331539784302,-1.039305946572415,-0.300104102654972,-0.877603808862202,112
Mark E Kelly,151721.14285714284,13.714285714285714,4.062308605711635,0.0,-1.7307077101837944,-1.5280321278222029,-0.5746049007151162,-0.300104102654972,-0.8833101590165353,113
Kevin J Cramer,226008.0,16.0,2.0311543028559447,0.0,-1.476644460663215,-1.38235035705536,-1.039305946572415,-0.300104102654972,-0.8995491654090044,114
John R Curtis,192012.0,24.0,0.9999999999999375,0.0,-1.5805661698125912,-0.9932497249435027,-1.4160438154818322,-0.300104102654972,-0.9224389018957386,115
Tammy Duckworth,144009.0,18.0,1.3333333333332222,0.0,-1.7639654245317977,-1.2701331539784302,-1.2763735125146831,-0.300104102654972,-1.0025919970924848,116
Patrick J Leahy,96006.0,12.0,0.999999999999875,0.0,-2.022451502513874,-1.653005896419906,-1.4160438154818606,-0.300104102654972,-1.1978492779401673,117
Robert P Casey Jr.,96006.0,12.0,0.999999999999875,0.0,-2.022451502513874,-1.653005896419906,-1.4160438154818606,-0.300104102654972,-1.1978492779401673,118
Jon A Husted,96006.0,12.0,0.999999999999875,0.0,-2.022451502513874,-1.653005896419906,-1.4160438154818606,-0.300104102654972,-1.1978492779401673,119
James Banks,96006.0,12.0,0.999999999999875,0.0,-2.022451502513874,-1.653005896419906,-1.4160438154818606,-0.300104102654972,-1.1978492779401673,120
