report_id,filer_first,filer_last,date_received_raw,url_path,url_full,is_pdf,is_html,downloaded,local_path,http_status,content_type,sha256,bytes,downloaded_utc,error
bd886067-927f-48a8-9d43-8ab6fa713f98,John,Boozman,02/15/2026,/search/view/ptr/bd886067-927f-48a8-9d43-8ab6fa713f98/,https://efdsearch.senate.gov/search/view/ptr/bd886067-927f-48a8-9d43-8ab6fa713f98/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html,200,cached,52a17e1955c6569e339f1cd044b32a46866bde92d9884333d7889a1aaae46d11,28599,2026-02-18T01:50:07Z,
135ebfe9-099e-4d58-ba46-f739b90d61da,John,Boozman,02/15/2026,/search/view/ptr/135ebfe9-099e-4d58-ba46-f739b90d61da/,https://efdsearch.senate.gov/search/view/ptr/135ebfe9-099e-4d58-ba46-f739b90d61da/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/135ebfe9-099e-4d58-ba46-f739b90d61da.html,200,cached,d297d64a9bf09baa25fc0bec232ec651d016f9783dcc9ac3cd70165466fc6518,39866,2026-02-18T01:50:07Z,
ab93dc59-4217-40a6-bee8-ba19deae027a,Susan M,Collins,02/13/2026,/search/view/ptr/ab93dc59-4217-40a6-bee8-ba19deae027a/,https://efdsearch.senate.gov/search/view/ptr/ab93dc59-4217-40a6-bee8-ba19deae027a/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/ab93dc59-4217-40a6-bee8-ba19deae027a.html,200,cached,e6a6afe9bd46bf1f16794fbe34010ce6028bb7d10326f005123e284cf700b535,12749,2026-02-18T01:50:07Z,
068274e1-4b7a-4453-a242-563dde4c10d8,RICHARD,BLUMENTHAL,02/12/2026,/search/view/paper/068274e1-4b7a-4453-a242-563dde4c10d8/,https://efdsearch.senate.gov/search/view/paper/068274e1-4b7a-4453-a242-563dde4c10d8/,True,False,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/pdf/068274e1-4b7a-4453-a242-563dde4c10d8.pdf,200,cached,107c79b1276ae99ef9321547420e2303790fcc3cb110f43bf64e4c3ddb34bb6c,22588,2026-02-18T01:50:07Z,
83722654-25b1-499e-8ad5-4a1349d993a6,John W,Hickenlooper,02/06/2026,/search/view/ptr/83722654-25b1-499e-8ad5-4a1349d993a6/,https://efdsearch.senate.gov/search/view/ptr/83722654-25b1-499e-8ad5-4a1349d993a6/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/83722654-25b1-499e-8ad5-4a1349d993a6.html,200,cached,2d5136687fe7a6eb3e8705412404ee2d23cdaa0e751e08d4896b2a88085840e9,16434,2026-02-18T01:50:07Z,
863cb85f-ff3b-41b2-ac1b-7d82f427c7b4,Shelley M,Capito,02/05/2026,/search/view/ptr/863cb85f-ff3b-41b2-ac1b-7d82f427c7b4/,https://efdsearch.senate.gov/search/view/ptr/863cb85f-ff3b-41b2-ac1b-7d82f427c7b4/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/863cb85f-ff3b-41b2-ac1b-7d82f427c7b4.html,200,cached,1bf8c44dacf2272b9af91c92ab8269f0078e8152522f12dad915bb3c6f7824a9,12659,2026-02-18T01:50:07Z,
98b3317b-2632-48c3-b636-d5555c4680ca,Markwayne,Mullin,02/04/2026,/search/view/ptr/98b3317b-2632-48c3-b636-d5555c4680ca/,https://efdsearch.senate.gov/search/view/ptr/98b3317b-2632-48c3-b636-d5555c4680ca/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/98b3317b-2632-48c3-b636-d5555c4680ca.html,200,cached,cd6ec8e10088e717123904af01d72d50cceea4bae06fc8631461f5d51a82938c,61738,2026-02-18T01:50:07Z,
d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e,Sheldon,Whitehouse,02/04/2026,/search/view/ptr/d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e/,https://efdsearch.senate.gov/search/view/ptr/d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e.html,200,cached,d80405acad7f6fe3d05e5e10175478fa2f4fa029423c5eb3d9d9d9571c233c2f,18795,2026-02-18T01:50:07Z,
a8f2bab8-0feb-49cf-b80f-9826cb4a7a4c,Tina,Smith,01/30/2026,/search/view/ptr/a8f2bab8-0feb-49cf-b80f-9826cb4a7a4c/,https://efdsearch.senate.gov/search/view/ptr/a8f2bab8-0feb-49cf-b80f-9826cb4a7a4c/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/a8f2bab8-0feb-49cf-b80f-9826cb4a7a4c.html,200,cached,915c6a8ab6dc0163e8169e499dcb21fd9ef7abc565c1697d60d9b0f61d45155c,13864,2026-02-18T01:50:07Z,
37900303-65bf-467d-962b-76555d510b28,Katie,Britt,01/29/2026,/search/view/ptr/37900303-65bf-467d-962b-76555d510b28/,https://efdsearch.senate.gov/search/view/ptr/37900303-65bf-467d-962b-76555d510b28/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/37900303-65bf-467d-962b-76555d510b28.html,200,cached,bae7176a29712144c5e44d568ee8bd6c54728c7098ea423677a8f4f662d002f4,12646,2026-02-18T01:50:07Z,
28e79480-3dcb-4793-86ed-48e7fd214587,Katie,Britt,01/26/2026,/search/view/ptr/28e79480-3dcb-4793-86ed-48e7fd214587/,https://efdsearch.senate.gov/search/view/ptr/28e79480-3dcb-4793-86ed-48e7fd214587/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/28e79480-3dcb-4793-86ed-48e7fd214587.html,200,cached,8c83fb2b909e988c7131db27173301325bea02c48421d22e468d01525c9e3548,38412,2026-02-18T01:50:07Z,
d7cae837-f73c-4eb1-b9fb-e510f53d65de,Angus S,"King, Jr.",01/26/2026,/search/view/ptr/d7cae837-f73c-4eb1-b9fb-e510f53d65de/,https://efdsearch.senate.gov/search/view/ptr/d7cae837-f73c-4eb1-b9fb-e510f53d65de/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/d7cae837-f73c-4eb1-b9fb-e510f53d65de.html,200,cached,18ebd6a94bbb16883faf728ece667be21b6c8fdce6eb57d4de2a855adcdccd0b,15117,2026-02-18T01:50:07Z,
5dfd6dd1-5c2f-4398-984b-79c88380fc84,Gary C,Peters,01/20/2026,/search/view/ptr/5dfd6dd1-5c2f-4398-984b-79c88380fc84/,https://efdsearch.senate.gov/search/view/ptr/5dfd6dd1-5c2f-4398-984b-79c88380fc84/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/5dfd6dd1-5c2f-4398-984b-79c88380fc84.html,200,cached,b1f06d96eb71c9152908e15db592b4fe386459998ba0e420ec08a4927b9cfb1e,13885,2026-02-18T01:50:07Z,
f873aeb4-adbb-4934-a188-79416a2e4c76,RICHARD,BLUMENTHAL,01/20/2026,/search/view/paper/f873aeb4-adbb-4934-a188-79416a2e4c76/,https://efdsearch.senate.gov/search/view/paper/f873aeb4-adbb-4934-a188-79416a2e4c76/,True,False,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/pdf/f873aeb4-adbb-4934-a188-79416a2e4c76.pdf,200,cached,84d032efe572500d52d138312df577d5b4a0a869c43f3497524fae331654d742,22588,2026-02-18T01:50:07Z,
b195126e-7bb2-4d54-baf5-e6fc8e7a0165,Markwayne,Mullin,01/16/2026,/search/view/ptr/b195126e-7bb2-4d54-baf5-e6fc8e7a0165/,https://efdsearch.senate.gov/search/view/ptr/b195126e-7bb2-4d54-baf5-e6fc8e7a0165/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/b195126e-7bb2-4d54-baf5-e6fc8e7a0165.html,200,cached,ceaaed9fdcda2438b8cda0106ad3e2d05b95fae1d7fc9f219bb638ae9149eec9,50082,2026-02-18T01:50:07Z,
5a8fc13a-c5aa-44b1-a72e-a68badbdd5f4,Mark R,Warner,01/16/2026,/search/view/ptr/5a8fc13a-c5aa-44b1-a72e-a68badbdd5f4/,https://efdsearch.senate.gov/search/view/ptr/5a8fc13a-c5aa-44b1-a72e-a68badbdd5f4/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/5a8fc13a-c5aa-44b1-a72e-a68badbdd5f4.html,200,cached,529b1651b329bab36e9bd8750b738f7f8aef5baaef6058c01ce2733e5a893add,15234,2026-02-18T01:50:07Z,
b2bdf363-af39-43c8-ae93-13ed14aa3752,Thomas H,Tuberville,01/15/2026,/search/view/ptr/b2bdf363-af39-43c8-ae93-13ed14aa3752/,https://efdsearch.senate.gov/search/view/ptr/b2bdf363-af39-43c8-ae93-13ed14aa3752/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/b2bdf363-af39-43c8-ae93-13ed14aa3752.html,200,cached,fb512c2c717eeb516f0a3e2236620561bcf31a703d31b891ea18e05219ea745b,17609,2026-02-18T01:50:07Z,
7ab0d2fd-19ea-459d-a1d9-3701e2cc8e93,Markwayne,Mullin,01/13/2026,/search/view/ptr/7ab0d2fd-19ea-459d-a1d9-3701e2cc8e93/,https://efdsearch.senate.gov/search/view/ptr/7ab0d2fd-19ea-459d-a1d9-3701e2cc8e93/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/7ab0d2fd-19ea-459d-a1d9-3701e2cc8e93.html,200,cached,62acc7a093ca1b48c19a0c7f18a813e957861f59ec2db5086cca319e917fd0f9,35128,2026-02-18T01:50:07Z,
a71d2e2b-337a-4d0f-bf2f-a4c9a0c1f6dc,A. Mitchell,"McConnell, Jr.",01/13/2026,/search/view/ptr/a71d2e2b-337a-4d0f-bf2f-a4c9a0c1f6dc/,https://efdsearch.senate.gov/search/view/ptr/a71d2e2b-337a-4d0f-bf2f-a4c9a0c1f6dc/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/a71d2e2b-337a-4d0f-bf2f-a4c9a0c1f6dc.html,200,cached,c35b743d970ed6069b223bffc1c85386bee4a5911ae4d71531dd80caef3f7480,12682,2026-02-18T01:50:07Z,
d3daa40b-123d-4451-9974-02bf5a96d8da,John,Boozman,01/13/2026,/search/view/ptr/d3daa40b-123d-4451-9974-02bf5a96d8da/,https://efdsearch.senate.gov/search/view/ptr/d3daa40b-123d-4451-9974-02bf5a96d8da/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/d3daa40b-123d-4451-9974-02bf5a96d8da.html,200,cached,3f5c37456b74a0390ff715a6a205d66df1a2e7418310640bd99b6280ba501bcb,21390,2026-02-18T01:50:07Z,
0677bd3f-167e-4cae-8f1d-05eb4340fcdc,John,Boozman,01/13/2026,/search/view/ptr/0677bd3f-167e-4cae-8f1d-05eb4340fcdc/,https://efdsearch.senate.gov/search/view/ptr/0677bd3f-167e-4cae-8f1d-05eb4340fcdc/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/0677bd3f-167e-4cae-8f1d-05eb4340fcdc.html,200,cached,7b1e6e73693a584a5d678ac033be2f32b2e5dfb90b00d7ebfcfbd2f210184d37,21307,2026-02-18T01:50:07Z,
de8efd52-6618-4e4f-bd3d-d3e32cccaa0c,Bernie,Moreno,01/09/2026,/search/view/ptr/de8efd52-6618-4e4f-bd3d-d3e32cccaa0c/,https://efdsearch.senate.gov/search/view/ptr/de8efd52-6618-4e4f-bd3d-d3e32cccaa0c/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/de8efd52-6618-4e4f-bd3d-d3e32cccaa0c.html,200,cached,764fb82f4ee5c9270283b1435a04d83df49f50ebdf5601ab885f393f2d34073f,15459,2026-02-18T01:50:07Z,
0dbb004e-a36f-4554-986d-d8b1a9a4769a,Gary C,Peters,01/07/2026,/search/view/ptr/0dbb004e-a36f-4554-986d-d8b1a9a4769a/,https://efdsearch.senate.gov/search/view/ptr/0dbb004e-a36f-4554-986d-d8b1a9a4769a/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/0dbb004e-a36f-4554-986d-d8b1a9a4769a.html,200,cached,08e0bec1ea2deff24e4842476c970bd0fefc0bad9bfa7d36fc83151398107d8f,13873,2026-02-18T01:50:07Z,
abe1d99a-f229-49cd-af07-301511ecf0d1,John W,Hickenlooper,01/06/2026,/search/view/ptr/abe1d99a-f229-49cd-af07-301511ecf0d1/,https://efdsearch.senate.gov/search/view/ptr/abe1d99a-f229-49cd-af07-301511ecf0d1/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/abe1d99a-f229-49cd-af07-301511ecf0d1.html,200,cached,07f7537fc97a233b103020e8cdbda5f6753cfa965592a07bf5d275c3554a0598,13930,2026-02-18T01:50:07Z,
3e408f48-f710-420d-ba46-d2269c689a8a,John,Fetterman,01/06/2026,/search/view/ptr/3e408f48-f710-420d-ba46-d2269c689a8a/,https://efdsearch.senate.gov/search/view/ptr/3e408f48-f710-420d-ba46-d2269c689a8a/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/3e408f48-f710-420d-ba46-d2269c689a8a.html,200,cached,081bc76c050f528f4b1409e42a64a948e8385796ee43390cfbfc676f0e271460,12731,2026-02-18T01:50:07Z,
439c1ac8-2955-486b-9f9c-4f1c6524671a,Shelley M,Capito,01/06/2026,/search/view/ptr/439c1ac8-2955-486b-9f9c-4f1c6524671a/,https://efdsearch.senate.gov/search/view/ptr/439c1ac8-2955-486b-9f9c-4f1c6524671a/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/439c1ac8-2955-486b-9f9c-4f1c6524671a.html,200,cached,64f76438d5feb0411932598d633d70963d7cc99bd28d18f2168febefa33ff4f5,16365,2026-02-18T01:50:07Z,
89777dd7-42ff-4095-bc54-7204a14232d4,Lindsey,Graham,01/06/2026,/search/view/ptr/89777dd7-42ff-4095-bc54-7204a14232d4/,https://efdsearch.senate.gov/search/view/ptr/89777dd7-42ff-4095-bc54-7204a14232d4/,False,True,True,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/89777dd7-42ff-4095-bc54-7204a14232d4.html,200,cached,f42c04b4895d91a8fe8309ef5601c1b0a136b380df2730f9f5eff8d080d9856a,17718,2026-02-18T01:50:07Z,
