source_file,source_page,official_name,filing_datetime,transaction_date,owner,transaction_type,amount_bucket_raw,asset_name,ticker,asset_type,filer,tx_type_raw,tx_date_raw
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",UNP,UNP,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",SPYM,SPYM,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",MDY,MDY,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",OMC,OMC,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",MU,MU,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",MU,MU,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",LRCX,LRCX,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",IWM,IWM,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
bd886067-927f-48a8-9d43-8ab6fa713f98,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",INC,INC,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",VNQI,VNQI,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",TPYP,TPYP,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",LITP,LITP,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",PYPL,PYPL,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",RNWGX,RNWGX,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",NFLX,NFLX,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",JMBS,JMBS,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",IVV,IVV,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",CMBS,CMBS,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",MBB,MBB,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",TBLL,TBLL,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",GIGB,GIGB,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",GEM,GEM,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",FTGC,FTGC,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",EIPI,EIPI,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",XOM,XOM,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",ETN,ETN,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",DIS,DIS,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",DXCM,DXCM,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",CVS,CVS,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",CAT,CAT,Stock,UNKNOWN,BUY,2026-02-10
135ebfe9-099e-4d58-ba46-f739b90d61da,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",AAPL,AAPL,Stock,UNKNOWN,BUY,2026-02-10
ab93dc59-4217-40a6-bee8-ba19deae027a,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",ME,ME,Stock,UNKNOWN,BUY,2026-02-10
83722654-25b1-499e-8ad5-4a1349d993a6,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,SELL,2026-02-10
83722654-25b1-499e-8ad5-4a1349d993a6,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",THE,THE,Stock,UNKNOWN,SELL,2026-02-10
83722654-25b1-499e-8ad5-4a1349d993a6,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
83722654-25b1-499e-8ad5-4a1349d993a6,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
863cb85f-ff3b-41b2-ac1b-7d82f427c7b4,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",SBUX,SBUX,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",ST,ST,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",ST,ST,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",MEX,MEX,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",TEX,TEX,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",TEX,TEX,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",AUTH,AUTH,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",WEST,WEST,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",ST,ST,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",ST,ST,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",COOK,COOK,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",IPS,IPS,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",SALEM,SALEM,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FORT,FORT,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",TEX,TEX,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",INTER,INTER,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",CLEAR,CLEAR,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FORT,FORT,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",WASH,WASH,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",COOK,COOK,Stock,UNKNOWN,SELL,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",VSEC,VSEC,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",MPWR,MPWR,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",MCK,MCK,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",LRN,LRN,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",FCFS,FCFS,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",CRS,CRS,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",INC,INC,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",APG,APG,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",AMKR,AMKR,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",ADBE,ADBE,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
98b3317b-2632-48c3-b636-d5555c4680ca,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,BUY,2026-02-10
d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,SELL,2026-02-10
d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",SELF,SELF,Stock,UNKNOWN,SELL,2026-02-10
d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",NVDA,NVDA,Stock,UNKNOWN,SELL,2026-02-10
d8dd8a6c-08c7-4432-8e62-5cd0ee9c4a8e,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
a8f2bab8-0feb-49cf-b80f-9826cb4a7a4c,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",BRK,BRK,Stock,UNKNOWN,SELL,2026-02-10
a8f2bab8-0feb-49cf-b80f-9826cb4a7a4c,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
37900303-65bf-467d-962b-76555d510b28,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,SELL,"$1,001 - $15,000",FULL,FULL,Stock,UNKNOWN,SELL,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",XOM,XOM,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",JPM,JPM,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",GOOG,GOOG,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",EOG,EOG,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",AAPL,AAPL,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",AMZN,AMZN,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",WMT,WMT,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",INC,INC,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",MSFT,MSFT,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",UNH,UNH,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",NVDA,NVDA,Stock,UNKNOWN,BUY,2026-02-10
28e79480-3dcb-4793-86ed-48e7fd214587,1,UNKNOWN,2026-02-18T00:00:00Z,2026-02-10,Self,BUY,"$1,001 - $15,000",AMZN,AMZN,Stock,UNKNOWN,BUY,2026-02-10
